2026-02-14 00:53:12,765 | INFO | uvicorn.access | 127.0.0.1:52287 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:53:12,793 | INFO | uvicorn.access | 127.0.0.1:52287 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:53:20,115 | INFO | uvicorn.access | 127.0.0.1:57499 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=manager&roles=staff&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:53:20,163 | INFO | uvicorn.access | 127.0.0.1:53957 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:53:20,492 | INFO | uvicorn.access | 127.0.0.1:53957 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:53:39,700 | INFO | uvicorn.access | 127.0.0.1:55587 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:53:39,767 | INFO | uvicorn.access | 127.0.0.1:64315 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:53:39,778 | INFO | uvicorn.access | 127.0.0.1:64315 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:53:40,145 | INFO | uvicorn.access | 127.0.0.1:64315 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:57:59,949 | INFO | uvicorn.access | 127.0.0.1:54438 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
